2011-02-18 17:00:38.359; Race Status: Initialized; 
2011-02-18 17:02:37.718; Lap added; Uwe; Laps: 8; Penalties: 0; Fuel: 52,34; Speed Sum: 864; LapTime: 00:14.14; 
2011-02-18 17:02:43.015; Finished; Mannie; Laps: 10; Penalties: 0; Fuel: 50,32; Speed Sum: 636; LapTime: 00:11.18; 
2011-02-18 17:02:43.625; Lap added; Mannie; Laps: 10; Penalties: 0; Fuel: 50,32; Speed Sum: 636; LapTime: 00:11.18; 
2011-02-18 17:02:44.046; Race Status: PausedByParallelPort; 
2011-02-18 17:03:09.468; Race Status: Finished; 
2011-02-18 17:03:17.937; Race Status: Finished; 
2011-02-18 17:03:17.968; Race Status: WaitingForStartByParallelPort; 
2011-02-18 17:03:22.703; Race Status: Started; 
2011-02-18 17:03:24.546; Lap added; Mannie; Laps: 0; Penalties: 0; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:03:24.546; Lap added; Uwe; Laps: 0; Penalties: 0; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:03:24.546; Lap added by autodetection; Heinz; Laps: 0; Penalties: 0; Fuel: 100; Speed Sum: 0; LapTime: ; 
2011-02-18 17:03:24.546; Lap added by autodetection; Tobi; Laps: 0; Penalties: 0; Fuel: 99,93; Speed Sum: 8; LapTime: ; 
2011-02-18 17:03:27.859; Lap detected but not added due minimum lap time; Heinz; Laps: 0; Penalties: 0; Fuel: 97,36; Speed Sum: 314; LapTime: ; 
2011-02-18 17:03:32.750; Lap added; Tobi; Laps: 1; Penalties: 0; Fuel: 92,69; Speed Sum: 864; LapTime: ; 
2011-02-18 17:03:35.906; Lap added; Mannie; Laps: 1; Penalties: 0; Fuel: 94,35; Speed Sum: 876; LapTime: 00:11.35; 
2011-02-18 17:03:36.562; Lap added; Heinz; Laps: 1; Penalties: 0; Fuel: 89,07; Speed Sum: 1122; LapTime: ; 
2011-02-18 17:03:38.625; Lap added; Uwe; Laps: 1; Penalties: 0; Fuel: 93,35; Speed Sum: 1032; LapTime: 00:13.65; 
2011-02-18 17:03:42.796; Lap added; Tobi; Laps: 2; Penalties: 0; Fuel: 84,98; Speed Sum: 920; LapTime: 00:10.01; 
2011-02-18 17:03:45.125; Lap added; Heinz; Laps: 2; Penalties: 0; Fuel: 81,68; Speed Sum: 753; LapTime: 00:08.70; 
2011-02-18 17:03:48.734; Lap added; Mannie; Laps: 2; Penalties: 0; Fuel: 88,63; Speed Sum: 888; LapTime: 00:12.92; 
2011-02-18 17:03:52.921; Lap added; Uwe; Laps: 2; Penalties: 0; Fuel: 86,88; Speed Sum: 1002; LapTime: 00:14.60; 
2011-02-18 17:03:53.046; Lap added; Tobi; Laps: 3; Penalties: 0; Fuel: 77,27; Speed Sum: 920; LapTime: 00:10.29; 
2011-02-18 17:03:54.218; Lap added; Heinz; Laps: 3; Penalties: 0; Fuel: 73,91; Speed Sum: 777; LapTime: 00:08.95; 
2011-02-18 17:04:01.671; Lap added; Mannie; Laps: 3; Penalties: 0; Fuel: 82,86; Speed Sum: 894; LapTime: 00:12.84; 
2011-02-18 17:04:02.625; Lap added; Heinz; Laps: 4; Penalties: 0; Fuel: 65,38; Speed Sum: 815; LapTime: 00:08.53; 
2011-02-18 17:04:04.984; Lap added; Uwe; Laps: 3; Penalties: 0; Fuel: 81,39; Speed Sum: 852; LapTime: 00:12.06; 
2011-02-18 17:04:05.218; Lap added; Tobi; Laps: 4; Penalties: 0; Fuel: 67,74; Speed Sum: 1136; LapTime: 00:12.15; 
2011-02-18 17:04:06.765; Race Status: PausedByParallelPort; 
2011-02-18 17:04:08.531; Penalty added; Heinz; Laps: 4; Penalties: 1 (3 laps left) ; Fuel: 62,05; Speed Sum: 298; LapTime: 00:08.53; 
2011-02-18 17:04:38.703; Race Status: Started; 
2011-02-18 17:04:46.281; Lap added; Heinz; Laps: 5; Penalties: 1 (2 laps left) ; Fuel: 55,13; Speed Sum: 999; LapTime: 00:11.59; 
2011-02-18 17:04:47.421; Lap added; Uwe; Laps: 4; Penalties: 0; Fuel: 73,59; Speed Sum: 956; LapTime: 00:10.45; 
2011-02-18 17:04:47.546; Lap added; Mannie; Laps: 4; Penalties: 0; Fuel: 76,59; Speed Sum: 972; LapTime: 00:14.03; 
2011-02-18 17:04:47.546; Lap added; Tobi; Laps: 5; Penalties: 0; Fuel: 59,43; Speed Sum: 992; LapTime: 00:10.39; 
2011-02-18 17:04:55.578; Pit in detected; Heinz; Laps: 5; Penalties: 1 (2 laps left) ; Fuel: 47,8; Speed Sum: 728; LapTime: 00:11.59; 
2011-02-18 17:04:57.140; Lap added; Uwe; Laps: 5; Penalties: 0; Fuel: 66,14; Speed Sum: 888; LapTime: 00:09.84; 
2011-02-18 17:04:57.578; PenaltiesDone; Heinz; Laps: 5; Penalties: 0; Fuel: 47,8; Speed Sum: 728; LapTime: 00:11.59; 
