TimeStamp: 2018-11-13 11:34:13.280; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 11:34:14.552; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 11:34:14.577; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 11:34:14.578; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-13 11:34:14.685; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-13 11:34:14.860; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-13 11:34:17.394; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-13 11:34:17.691; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-13 11:34:25.029; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-13 11:35:23.190; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-13 11:35:25.813; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:02.560; Position: 1; 
TimeStamp: 2018-11-13 11:35:26.618; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:02.560; Position: 1; 
TimeStamp: 2018-11-13 11:35:26.857; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:02.560; Position: 1; 
TimeStamp: 2018-11-13 11:35:27.099; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:02.560; Position: 1; 
TimeStamp: 2018-11-13 11:35:27.337; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:02.560; Position: 1; 
TimeStamp: 2018-11-13 11:35:27.537; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:02.560; Position: 1; 
TimeStamp: 2018-11-13 11:41:56.152; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:06:30.422; Position: 1; 
TimeStamp: 2018-11-13 11:42:00.720; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:04.569; Position: 1; 
TimeStamp: 2018-11-13 11:42:04.573; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:03.842; Position: 1; 
TimeStamp: 2018-11-13 11:42:04.575; Finished; EventId: 7; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:03.842; Position: 1; 
TimeStamp: 2018-11-13 11:42:05.309; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:03.842; Position: 1; 
TimeStamp: 2018-11-13 11:42:06.017; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:03.842; Position: 1; 
TimeStamp: 2018-11-13 11:43:07.157; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 11:43:09.075; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 11:43:11.372; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:04.217; Position: 2; 
TimeStamp: 2018-11-13 11:43:14.396; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:03.024; Position: 2; 
TimeStamp: 2018-11-13 11:43:18.698; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:00:04.297; Position: 2; 
TimeStamp: 2018-11-13 11:43:22.045; Lap added; EventId: 5; Driver: Danny; Laps: 4; Penalties: 0; LapTime: 12:00:03.351; Position: 2; 
TimeStamp: 2018-11-13 11:43:22.045; Finished; EventId: 7; Driver: Danny; Laps: 4; Penalties: 0; LapTime: 12:00:03.351; Position: 2; 
TimeStamp: 2018-11-13 11:43:41.007; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-13 11:43:43.526; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:02.519; Position: 3; 
TimeStamp: 2018-11-13 11:43:46.558; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:03.032; Position: 3; 
TimeStamp: 2018-11-13 11:43:49.930; Lap added; EventId: 5; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:03.373; Position: 3; 
TimeStamp: 2018-11-13 11:43:52.494; Lap added; EventId: 5; Driver: Mannie; Laps: 4; Penalties: 0; LapTime: 12:00:02.564; Position: 3; 
TimeStamp: 2018-11-13 11:43:52.494; Finished; EventId: 7; Driver: Mannie; Laps: 4; Penalties: 0; LapTime: 12:00:02.564; Position: 3; 
TimeStamp: 2018-11-13 11:44:56.004; Race Status: Stopped; EventId: 2; 
