TimeStamp: 2018-11-21 12:38:23.013; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 12:38:24.499; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 12:38:24.522; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 12:38:24.523; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-21 12:38:24.535; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-21 12:38:33.334; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-21 12:38:40.684; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-21 12:38:41.863; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-21 12:38:42.260; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-21 12:38:42.631; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 12:38:42.977; Lap added; EventId: 5; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-21 12:38:44.550; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:02.644; Position: 1; 
TimeStamp: 2018-11-21 12:38:44.989; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:02.728; Position: 2; 
TimeStamp: 2018-11-21 12:38:46.457; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:03.824; Position: 3; 
TimeStamp: 2018-11-21 12:38:46.895; Lap added; EventId: 5; Driver: Tom; Laps: 1; Penalties: 0; LapTime: 12:00:03.914; Position: 4; 
TimeStamp: 2018-11-21 12:38:49.314; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:08.638; Position: 5; 
TimeStamp: 2018-11-21 12:38:49.316; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:04.811; Position: 1; 
TimeStamp: 2018-11-21 12:38:49.383; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:04.392; Position: 2; 
TimeStamp: 2018-11-21 12:38:49.456; Lap added; EventId: 5; Driver: Heinz; Laps: 2; Penalties: 0; LapTime: 12:00:02.999; Position: 3; 
TimeStamp: 2018-11-21 12:38:49.536; Lap added; EventId: 5; Driver: Tom; Laps: 2; Penalties: 0; LapTime: 12:00:02.642; Position: 4; 
TimeStamp: 2018-11-21 12:38:58.200; Lap added; EventId: 5; Driver: Tom; Laps: 3; Penalties: 0; LapTime: 12:00:08.664; Position: 1; 
TimeStamp: 2018-11-21 12:38:58.731; Lap added; EventId: 5; Driver: Heinz; Laps: 3; Penalties: 0; LapTime: 12:00:09.275; Position: 2; 
TimeStamp: 2018-11-21 12:38:58.981; Lap added; EventId: 5; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:09.598; Position: 3; 
TimeStamp: 2018-11-21 12:39:01.011; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:00:11.695; Position: 4; 
TimeStamp: 2018-11-21 12:39:02.596; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:13.281; Position: 5; 
TimeStamp: 2018-11-21 12:39:03.531; Lap added; EventId: 5; Driver: Heinz; Laps: 4; Penalties: 0; LapTime: 12:00:04.800; Position: 1; 
TimeStamp: 2018-11-21 12:39:03.981; Lap added; EventId: 5; Driver: Tom; Laps: 4; Penalties: 0; LapTime: 12:00:05.729; Position: 2; 
TimeStamp: 2018-11-21 12:39:08.576; Lap added; EventId: 5; Driver: Tom; Laps: 5; Penalties: 0; LapTime: 12:00:04.644; Position: 1; 
TimeStamp: 2018-11-21 12:39:09.609; Lap added; EventId: 5; Driver: Heinz; Laps: 5; Penalties: 0; LapTime: 12:00:06.077; Position: 2; 
TimeStamp: 2018-11-21 12:39:12.298; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:09.703; Position: 5; 
TimeStamp: 2018-11-21 12:39:14.108; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:09.703; Position: 5; 
TimeStamp: 2018-11-21 12:39:15.215; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:02.916; Position: 3; 
TimeStamp: 2018-11-21 12:39:17.737; Lap added; EventId: 5; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:02.521; Position: 3; 
TimeStamp: 2018-11-21 12:39:19.749; Lap added; EventId: 5; Driver: Andreas; Laps: 6; Penalties: 0; LapTime: 12:00:02.013; Position: 1; 
