TimeStamp: 2018-11-13 08:35:50.445; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 08:35:51.962; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 08:35:51.985; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 08:35:51.986; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-13 08:35:52.002; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-13 08:35:55.169; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-13 08:36:01.717; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-13 08:36:04.629; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 08:36:07.144; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-13 08:36:09.358; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-13 08:36:12.211; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:02.802; Position: 1; 
TimeStamp: 2018-11-13 08:36:14.691; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:07.545; Position: 2; 
TimeStamp: 2018-11-13 08:36:17.611; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:12.983; Position: 3; 
TimeStamp: 2018-11-13 08:36:19.628; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:17.917; Position: 4; 
TimeStamp: 2018-11-13 08:36:23.249; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:05.637; Position: 1; 
TimeStamp: 2018-11-13 08:36:25.364; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:10.673; Position: 2; 
TimeStamp: 2018-11-13 08:36:30.298; Lap added; EventId: 5; Driver: Heinz; Laps: 2; Penalties: 0; LapTime: 12:00:18.136; Position: 3; 
TimeStamp: 2018-11-13 08:36:33.928; Lap added; EventId: 5; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-13 08:36:36.734; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:00:13.485; Position: 1; 
TimeStamp: 2018-11-13 08:36:39.058; Lap added; EventId: 5; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:13.694; Position: 2; 
TimeStamp: 2018-11-13 08:36:41.978; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:22.352; Position: 4; 
TimeStamp: 2018-11-13 08:36:42.280; Lap added; EventId: 5; Driver: Danny; Laps: 4; Penalties: 0; LapTime: 12:00:05.545; Position: 1; 
TimeStamp: 2018-11-13 08:36:42.281; Finished; EventId: 7; Driver: Danny; Laps: 4; Penalties: 0; LapTime: 12:00:05.545; Position: 1; 
TimeStamp: 2018-11-13 08:36:42.562; Lap added; EventId: 5; Driver: Mannie; Laps: 4; Penalties: 0; LapTime: 12:00:03.504; Position: 2; 
TimeStamp: 2018-11-13 08:36:42.562; Finished; EventId: 7; Driver: Mannie; Laps: 4; Penalties: 0; LapTime: 12:00:03.504; Position: 2; 
TimeStamp: 2018-11-13 08:36:42.840; Lap added; EventId: 5; Driver: Heinz; Laps: 3; Penalties: 0; LapTime: 12:00:12.542; Position: 3; 
