TimeStamp: 2018-11-14 07:25:36.825; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-14 07:25:42.566; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-14 07:25:42.575; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-14 07:25:42.576; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:25:42.764; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:25:42.989; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-14 07:25:45.071; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:25:45.275; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:25:50.293; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-14 07:26:04.395; Race Status: Stopped; EventId: 2; 
TimeStamp: 2018-11-14 07:27:00.784; Race Status: Stopped; EventId: 2; 
TimeStamp: 2018-11-14 07:27:00.846; Race Status: Stopped; EventId: 2; 
TimeStamp: 2018-11-14 07:27:00.847; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:27:01.090; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:27:01.436; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-14 07:27:03.112; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:27:03.534; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:27:10.538; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-14 07:27:33.810; Race Status: PausedByKeyboard; EventId: 4; 
TimeStamp: 2018-11-14 07:27:34.715; Race Status: RestartCountDown; EventId: 0; 
TimeStamp: 2018-11-14 07:27:41.390; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-14 07:28:38.677; Race Status: Stopped; EventId: 2; 
TimeStamp: 2018-11-14 07:28:39.794; Race Status: Stopped; EventId: 2; 
