TimeStamp: 2018-11-09 13:30:20.501; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-09 13:30:22.045; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-09 13:30:22.061; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-09 13:30:22.063; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-09 13:30:22.076; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-09 13:30:23.515; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-09 13:33:08.960; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-09 13:33:30.696; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:52.001; Position: 1; 
TimeStamp: 2018-11-09 13:33:31.491; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:52.001; Position: 1; 
TimeStamp: 2018-11-09 13:33:31.731; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:52.001; Position: 1; 
TimeStamp: 2018-11-09 13:33:31.955; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:52.001; Position: 1; 
TimeStamp: 2018-11-09 13:33:32.219; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:52.001; Position: 1; 
TimeStamp: 2018-11-09 13:33:32.446; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:01:52.001; Position: 1; 
TimeStamp: 2018-11-09 13:33:40.212; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:40.412; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:40.636; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:40.852; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:41.076; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:41.316; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:41.508; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:41.732; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:41.941; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:42.188; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
TimeStamp: 2018-11-09 13:33:42.430; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:09.584; Position: 1; 
