TimeStamp: 2018-11-21 21:14:49.946; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:15:59.880; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.880; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.891; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.921; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.965; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:15:59.972; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.004; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.034; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.072; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.110; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.141; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.172; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.200; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
