TimeStamp: 2019-01-14 12:56:12.784; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 12:56:25.141; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 12:56:25.158; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 12:56:25.159; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 12:56:25.260; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 12:56:25.451; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2019-01-14 12:56:26.323; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 12:56:26.504; Race Status: StartCountDown; EventId: 0; 
TimeStamp: 2019-01-14 12:56:32.250; Race Status: Started; EventId: 1; 
TimeStamp: 2019-01-14 12:56:38.717; Lap added; EventId: 5; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2019-01-14 12:56:44.547; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2019-01-14 12:56:48.177; Lap added; EventId: 5; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2019-01-14 12:56:48.479; Lap added; EventId: 5; Driver: Christoph; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2019-01-14 12:56:48.781; Lap added; EventId: 5; Driver: Kumpe; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2019-01-14 12:56:50.191; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 6; 
TimeStamp: 2019-01-14 12:56:51.550; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:06.954; Position: 1; 
TimeStamp: 2019-01-14 12:56:53.515; Lap added; EventId: 5; Driver: Bernd; Laps: 1; Penalties: 0; LapTime: 12:00:14.806; Position: 2; 
TimeStamp: 2019-01-14 12:56:55.240; Lap added; EventId: 5; Driver: Christoph; Laps: 1; Penalties: 0; LapTime: 12:00:06.760; Position: 3; 
TimeStamp: 2019-01-14 12:57:02.373; Lap added; EventId: 5; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:14.194; Position: 4; 
TimeStamp: 2019-01-14 12:57:04.492; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:14.300; Position: 5; 
TimeStamp: 2019-01-14 12:57:08.815; Lap added; EventId: 5; Driver: Kumpe; Laps: 1; Penalties: 0; LapTime: 12:00:20.033; Position: 6; 
TimeStamp: 2019-01-14 12:57:12.034; Lap added; EventId: 5; Driver: Bernd; Laps: 2; Penalties: 0; LapTime: 12:00:18.520; Position: 1; 
TimeStamp: 2019-01-14 12:57:14.283; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:22.784; Position: 2; 
TimeStamp: 2019-01-14 12:58:17.294; Lap added; EventId: 5; Driver: Christoph; Laps: 2; Penalties: 0; LapTime: 12:01:12.122; Position: 3; 
TimeStamp: 2019-01-14 12:58:23.333; Lap added; EventId: 5; Driver: Steg; Laps: 2; Penalties: 0; LapTime: 12:01:19.132; Position: 4; 
TimeStamp: 2019-01-14 12:58:39.042; Lap added; EventId: 5; Driver: Heinz; Laps: 2; Penalties: 0; LapTime: 12:01:30.398; Position: 5; 
TimeStamp: 2019-01-14 12:58:42.343; Lap added; EventId: 5; Driver: Christoph; Laps: 3; Penalties: 0; LapTime: 12:00:34.976; Position: 1; 
TimeStamp: 2019-01-14 12:58:46.163; Lap added; EventId: 5; Driver: Kumpe; Laps: 2; Penalties: 0; LapTime: 12:01:37.348; Position: 6; 
TimeStamp: 2019-01-14 12:58:49.988; Lap added; EventId: 5; Driver: Christoph; Laps: 4; Penalties: 0; LapTime: 12:00:07.649; Position: 1; 
TimeStamp: 2019-01-14 12:58:51.700; Lap added; EventId: 5; Driver: Steg; Laps: 3; Penalties: 0; LapTime: 12:00:30.194; Position: 2; 
TimeStamp: 2019-01-14 12:58:58.344; Lap added; EventId: 5; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:01:44.058; Position: 3; 
TimeStamp: 2019-01-14 12:59:01.965; Lap added; EventId: 5; Driver: Heinz; Laps: 3; Penalties: 0; LapTime: 12:00:27.073; Position: 4; 
TimeStamp: 2019-01-14 12:59:05.687; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 3; Penalties: 0; LapTime: 12:00:27.073; Position: 4; 
TimeStamp: 2019-01-14 12:59:06.697; Lap added; EventId: 5; Driver: Kumpe; Laps: 3; Penalties: 0; LapTime: 12:00:20.532; Position: 5; 
TimeStamp: 2019-01-14 12:59:08.401; Lap added; EventId: 5; Driver: Christoph; Laps: 5; Penalties: 0; LapTime: 12:00:18.411; Position: 1; 
TimeStamp: 2019-01-14 12:59:10.554; Lap detected but not added due minimum lap time; EventId: 6; Driver: Kumpe; Laps: 3; Penalties: 0; LapTime: 12:00:20.532; Position: 5; 
TimeStamp: 2019-01-14 12:59:12.429; Lap detected but not added due minimum lap time; EventId: 6; Driver: Christoph; Laps: 5; Penalties: 0; LapTime: 12:00:18.411; Position: 1; 
