TimeStamp: 2019-01-14 13:01:09.284; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:02:48.166; Lap added; EventId: 5; Driver: Mannie; Laps: 5; Penalties: 0; LapTime: 12:00:07.833; Position: 2; 
TimeStamp: 2019-01-14 13:02:49.190; Lap added; EventId: 5; Driver: Steg; Laps: 5; Penalties: 0; LapTime: 12:00:20.833; Position: 3; 
TimeStamp: 2019-01-14 13:02:50.326; Lap added; EventId: 5; Driver: Christoph; Laps: 5; Penalties: 0; LapTime: 12:00:06.972; Position: 4; 
TimeStamp: 2019-01-14 13:02:51.605; Lap added; EventId: 5; Driver: Kumpe; Laps: 5; Penalties: 0; LapTime: 12:00:07.358; Position: 5; 
TimeStamp: 2019-01-14 13:03:02.277; Lap added; EventId: 5; Driver: Heinz; Laps: 5; Penalties: 0; LapTime: 12:00:17.416; Position: 6; 
TimeStamp: 2019-01-14 13:03:02.681; Lap added; EventId: 5; Driver: Bernd; Laps: 6; Penalties: 0; LapTime: 12:00:15.704; Position: 1; 
TimeStamp: 2019-01-14 13:03:03.285; Lap added; EventId: 5; Driver: Mannie; Laps: 6; Penalties: 0; LapTime: 12:00:15.119; Position: 2; 
TimeStamp: 2019-01-14 13:03:03.789; Lap added; EventId: 5; Driver: Steg; Laps: 6; Penalties: 0; LapTime: 12:00:14.599; Position: 3; 
TimeStamp: 2019-01-14 13:03:04.056; Lap added; EventId: 5; Driver: Christoph; Laps: 6; Penalties: 0; LapTime: 12:00:13.733; Position: 4; 
TimeStamp: 2019-01-14 13:03:04.493; Lap added; EventId: 5; Driver: Kumpe; Laps: 6; Penalties: 0; LapTime: 12:00:12.888; Position: 5; 
TimeStamp: 2019-01-14 13:03:04.794; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 5; Penalties: 0; LapTime: 12:00:17.416; Position: 6; 
TimeStamp: 2019-01-14 13:03:07.814; Lap added; EventId: 5; Driver: Heinz; Laps: 6; Penalties: 0; LapTime: 12:00:05.535; Position: 6; 
TimeStamp: 2019-01-14 13:03:11.033; Lap added; EventId: 5; Driver: Bernd; Laps: 7; Penalties: 0; LapTime: 12:00:08.352; Position: 1; 
TimeStamp: 2019-01-14 13:03:11.035; Finished; EventId: 7; Driver: Bernd; Laps: 7; Penalties: 0; LapTime: 12:00:08.352; Position: 1; 
TimeStamp: 2019-01-14 13:03:12.846; Lap added; EventId: 5; Driver: Mannie; Laps: 7; Penalties: 0; LapTime: 12:00:09.560; Position: 2; 
TimeStamp: 2019-01-14 13:03:12.846; Finished; EventId: 7; Driver: Mannie; Laps: 7; Penalties: 0; LapTime: 12:00:09.560; Position: 2; 
TimeStamp: 2019-01-14 13:03:15.765; Lap added; EventId: 5; Driver: Steg; Laps: 7; Penalties: 0; LapTime: 12:00:11.976; Position: 3; 
TimeStamp: 2019-01-14 13:03:15.766; Finished; EventId: 7; Driver: Steg; Laps: 7; Penalties: 0; LapTime: 12:00:11.976; Position: 3; 
TimeStamp: 2019-01-14 13:03:18.400; Lap added; EventId: 5; Driver: Christoph; Laps: 7; Penalties: 0; LapTime: 12:00:14.327; Position: 4; 
TimeStamp: 2019-01-14 13:03:18.400; Finished; EventId: 7; Driver: Christoph; Laps: 7; Penalties: 0; LapTime: 12:00:14.327; Position: 4; 
TimeStamp: 2019-01-14 13:03:21.107; Lap added; EventId: 5; Driver: Kumpe; Laps: 7; Penalties: 0; LapTime: 12:00:16.613; Position: 5; 
TimeStamp: 2019-01-14 13:03:21.107; Finished; EventId: 7; Driver: Kumpe; Laps: 7; Penalties: 0; LapTime: 12:00:16.613; Position: 5; 
TimeStamp: 2019-01-14 13:03:21.997; Lap added; EventId: 5; Driver: Heinz; Laps: 7; Penalties: 0; LapTime: 12:00:14.183; Position: 6; 
