TimeStamp: 2018-11-16 12:25:46.799; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-16 12:25:49.091; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-16 12:25:49.113; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-16 12:25:49.115; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-16 12:25:49.127; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-16 12:25:55.152; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-16 12:25:58.362; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-16 12:26:05.975; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:07.573; Position: 1; 
TimeStamp: 2018-11-16 12:26:07.575; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:01.652; Position: 1; 
TimeStamp: 2018-11-16 12:26:09.307; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:01.731; Position: 1; 
TimeStamp: 2018-11-16 12:26:12.856; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:03.549; Position: 1; 
TimeStamp: 2018-11-16 12:26:13.446; Lap added; EventId: 5; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:00.590; Position: 1; 
TimeStamp: 2018-11-16 12:26:14.183; Lap added; EventId: 5; Driver: Andreas; Laps: 6; Penalties: 0; LapTime: 12:00:00.737; Position: 1; 
TimeStamp: 2018-11-16 12:26:16.496; Lap added; EventId: 5; Driver: Andreas; Laps: 7; Penalties: 0; LapTime: 12:00:02.313; Position: 1; 
TimeStamp: 2018-11-16 12:26:18.576; Lap added; EventId: 5; Driver: Andreas; Laps: 8; Penalties: 0; LapTime: 12:00:02.080; Position: 1; 
TimeStamp: 2018-11-16 12:26:20.828; Lap added; EventId: 5; Driver: Andreas; Laps: 9; Penalties: 0; LapTime: 12:00:02.251; Position: 1; 
TimeStamp: 2018-11-16 12:26:42.064; Lap added; EventId: 5; Driver: Andreas; Laps: 10; Penalties: 0; LapTime: 12:00:21.238; Position: 1; 
TimeStamp: 2018-11-16 12:26:45.788; Lap added; EventId: 5; Driver: Andreas; Laps: 11; Penalties: 0; LapTime: 12:00:03.724; Position: 1; 
TimeStamp: 2018-11-16 12:26:50.217; Lap added; EventId: 5; Driver: Andreas; Laps: 12; Penalties: 0; LapTime: 12:00:04.429; Position: 1; 
TimeStamp: 2018-11-16 12:27:04.605; Lap added; EventId: 5; Driver: Andreas; Laps: 13; Penalties: 0; LapTime: 12:00:14.387; Position: 1; 
TimeStamp: 2018-11-16 12:29:09.459; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-16 12:29:10.760; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:01.298; Position: 2; 
TimeStamp: 2018-11-16 12:30:01.443; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:02.062; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:02.336; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:02.578; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:02.898; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:03.141; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:03.414; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:03.693; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:03.955; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:04.251; Lap detected but not added due minimum lap time; EventId: 6; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:50.675; Position: 2; 
TimeStamp: 2018-11-16 12:30:08.480; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:00:07.046; Position: 2; 
TimeStamp: 2018-11-16 12:31:05.261; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:06.017; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:06.438; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:06.874; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:07.277; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:07.639; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:08.083; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:08.455; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:08.874; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:09.227; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:09.670; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:10.043; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:10.399; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:10.788; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:11.101; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-16 12:31:11.403; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:06.143; Position: 3; 
TimeStamp: 2018-11-16 12:31:21.572; Lap detected but not added due minimum lap time; EventId: 6; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:06.143; Position: 3; 
TimeStamp: 2018-11-16 12:31:32.639; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-16 12:31:43.720; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-16 12:31:48.348; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:31:49.450; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:31:49.587; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:31:49.798; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:31:50.010; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:31:50.216; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:31:50.445; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:31:50.668; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:15.708; Position: 4; 
TimeStamp: 2018-11-16 12:37:27.155; Lap added; EventId: 5; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-16 12:37:27.760; Lap detected but not added due minimum lap time; EventId: 6; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
