TimeStamp: 2018-11-21 21:39:33.651; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:39:36.408; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:39:36.424; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:39:36.425; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-21 21:39:36.480; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-21 21:39:39.311; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-21 21:39:42.254; Lap added; EventId: 5; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-21 21:39:54.798; Lap detected but not added due minimum lap time; EventId: 6; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-21 21:39:58.893; Lap detected but not added due minimum lap time; EventId: 6; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-21 21:40:02.082; Lap added; EventId: 5; Driver: Bernd; Laps: 1; Penalties: 0; LapTime: 12:00:19.798; Position: 1; 
TimeStamp: 2018-11-21 21:40:11.181; Lap detected but not added due minimum lap time; EventId: 6; Driver: Bernd; Laps: 1; Penalties: 0; LapTime: 12:00:19.798; Position: 1; 
TimeStamp: 2018-11-21 21:40:13.238; Lap added; EventId: 5; Driver: Bernd; Laps: 2; Penalties: 0; LapTime: 12:00:11.199; Position: 1; 
TimeStamp: 2018-11-21 21:40:23.614; Lap added; EventId: 5; Driver: Bernd; Laps: 3; Penalties: 0; LapTime: 12:00:10.376; Position: 1; 
TimeStamp: 2018-11-21 21:40:43.126; Lap detected but not added due minimum lap time; EventId: 6; Driver: Bernd; Laps: 3; Penalties: 0; LapTime: 12:00:10.376; Position: 1; 
TimeStamp: 2018-11-21 21:40:43.998; Lap detected but not added due minimum lap time; EventId: 6; Driver: Bernd; Laps: 3; Penalties: 0; LapTime: 12:00:10.376; Position: 1; 
TimeStamp: 2018-11-21 21:40:49.783; Lap added; EventId: 5; Driver: Bernd; Laps: 4; Penalties: 0; LapTime: 12:00:26.167; Position: 1; 
TimeStamp: 2018-11-21 21:40:53.573; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-21 21:40:55.878; Lap detected but not added due minimum lap time; EventId: 6; Driver: Bernd; Laps: 4; Penalties: 0; LapTime: 12:00:26.167; Position: 1; 
TimeStamp: 2018-11-21 21:40:57.190; Lap added; EventId: 5; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
