TimeStamp: 2018-11-13 13:54:33.435; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 13:54:34.198; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 13:54:34.236; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 13:54:34.237; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-13 13:54:34.255; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-13 13:54:35.038; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-13 13:54:40.518; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-13 13:54:51.405; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:10.853; Position: 1; 
TimeStamp: 2018-11-13 13:55:07.992; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:16.634; Position: 1; 
TimeStamp: 2018-11-13 13:55:25.920; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:16.634; Position: 1; 
TimeStamp: 2018-11-13 13:55:30.731; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:22.740; Position: 1; 
TimeStamp: 2018-11-13 13:55:38.593; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:22.740; Position: 1; 
TimeStamp: 2018-11-13 13:55:48.969; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:18.235; Position: 1; 
TimeStamp: 2018-11-13 13:55:59.455; Lap added; EventId: 5; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:10.488; Position: 1; 
TimeStamp: 2018-11-13 13:56:12.385; Lap added; EventId: 5; Driver: Andreas; Laps: 6; Penalties: 0; LapTime: 12:00:12.930; Position: 1; 
TimeStamp: 2018-11-13 13:56:42.769; Lap added; EventId: 5; Driver: Andreas; Laps: 7; Penalties: 0; LapTime: 12:00:29.084; Position: 1; 
TimeStamp: 2018-11-13 13:56:54.021; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 7; Penalties: 0; LapTime: 12:00:29.084; Position: 1; 
TimeStamp: 2018-11-13 13:57:18.697; Lap added; EventId: 5; Driver: Andreas; Laps: 8; Penalties: 0; LapTime: 12:00:35.284; Position: 1; 
TimeStamp: 2018-11-13 13:57:33.212; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 8; Penalties: 0; LapTime: 12:00:35.284; Position: 1; 
TimeStamp: 2018-11-13 13:57:53.496; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 8; Penalties: 0; LapTime: 12:00:35.284; Position: 1; 
TimeStamp: 2018-11-13 13:59:35.356; Lap added; EventId: 5; Driver: Andreas; Laps: 9; Penalties: 0; LapTime: 12:02:14.917; Position: 1; 
TimeStamp: 2018-11-13 13:59:43.763; Lap added; EventId: 5; Driver: Andreas; Laps: 10; Penalties: 0; LapTime: 12:00:12.091; Position: 1; 
TimeStamp: 2018-11-13 13:59:54.908; Lap added; EventId: 5; Driver: Andreas; Laps: 11; Penalties: 0; LapTime: 12:00:11.144; Position: 1; 
TimeStamp: 2018-11-13 14:01:20.506; Lap added; EventId: 5; Driver: Andreas; Laps: 12; Penalties: 0; LapTime: 12:01:25.597; Position: 1; 
TimeStamp: 2018-11-13 14:01:30.891; Lap added; EventId: 5; Driver: Andreas; Laps: 13; Penalties: 0; LapTime: 12:00:10.386; Position: 1; 
