TimeStamp: 2019-01-14 13:11:46.493; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:12:44.194; Finished; EventId: 7; Driver: Steg; Laps: 3; Penalties: 0; LapTime: 12:00:12.665; Position: 6; 
TimeStamp: 2019-01-14 13:12:44.194; Race Status: Finished; EventId: 3; 
TimeStamp: 2019-01-14 13:13:33.751; Race Status: Finished; EventId: 3; 
TimeStamp: 2019-01-14 13:13:33.756; Race Status: Finished; EventId: 3; 
TimeStamp: 2019-01-14 13:13:33.756; Race Status: Started; EventId: 1; 
TimeStamp: 2019-01-14 13:13:33.767; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2019-01-14 13:13:34.589; Race Status: Restarted; EventId: 10; 
TimeStamp: 2019-01-14 13:13:35.942; Lap added; EventId: 5; Driver: Bernd; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2019-01-14 13:13:36.345; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2019-01-14 13:13:36.640; Lap added; EventId: 5; Driver: Steg; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2019-01-14 13:13:37.151; Lap added; EventId: 5; Driver: Christoph; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2019-01-14 13:13:37.553; Lap added; EventId: 5; Driver: Kumpe; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2019-01-14 13:13:37.958; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 6; 
TimeStamp: 2019-01-14 13:13:41.080; Lap added; EventId: 5; Driver: Bernd; Laps: 1; Penalties: 0; LapTime: 12:00:05.138; Position: 1; 
TimeStamp: 2019-01-14 13:13:41.485; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:05.139; Position: 2; 
TimeStamp: 2019-01-14 13:13:41.785; Lap added; EventId: 5; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:05.143; Position: 3; 
TimeStamp: 2019-01-14 13:13:42.088; Lap added; EventId: 5; Driver: Christoph; Laps: 1; Penalties: 0; LapTime: 12:00:04.936; Position: 4; 
