TimeStamp: 2018-11-13 14:27:28.240; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 14:27:30.379; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 14:27:30.395; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-13 14:27:30.396; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-13 14:27:30.414; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-13 14:27:33.932; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-13 14:28:08.973; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-13 14:28:42.097; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-13 14:29:00.521; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:51.532; Position: 1; 
TimeStamp: 2018-11-13 14:29:02.946; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:51.532; Position: 1; 
TimeStamp: 2018-11-13 14:29:12.453; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:11.969; Position: 1; 
TimeStamp: 2018-11-13 14:29:18.039; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:11.969; Position: 1; 
TimeStamp: 2018-11-13 14:31:38.018; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:02:25.562; Position: 1; 
TimeStamp: 2018-11-13 14:31:39.925; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:02:25.562; Position: 1; 
TimeStamp: 2018-11-13 14:31:41.100; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:02:25.562; Position: 1; 
TimeStamp: 2018-11-13 14:31:42.859; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:02:25.562; Position: 1; 
TimeStamp: 2018-11-13 14:31:44.594; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:02:25.562; Position: 1; 
TimeStamp: 2018-11-13 14:31:46.937; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:02:25.562; Position: 1; 
TimeStamp: 2018-11-13 14:31:53.135; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:15.117; Position: 1; 
TimeStamp: 2018-11-13 14:32:37.589; Lap added; EventId: 5; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:44.455; Position: 1; 
TimeStamp: 2018-11-13 14:32:37.591; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 14:32:39.301; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:44.455; Position: 1; 
TimeStamp: 2018-11-13 14:32:39.301; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 14:32:41.420; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:44.455; Position: 1; 
TimeStamp: 2018-11-13 14:32:41.420; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-13 14:32:43.138; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:44.455; Position: 1; 
