TimeStamp: 2018-11-21 12:28:14.056; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 12:28:15.326; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 12:28:15.346; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 12:28:15.347; Race Status: Started; EventId: 1; 
TimeStamp: 2018-11-21 12:28:15.360; Race Status: PausedBeforeStart; EventId: 4; 
TimeStamp: 2018-11-21 12:28:17.620; Race Status: Restarted; EventId: 10; 
TimeStamp: 2018-11-21 12:28:19.064; Lap added; EventId: 5; Driver: Andreas; Laps: 0; Penalties: 0; LapTime: ; Position: 1; 
TimeStamp: 2018-11-21 12:28:20.947; Lap added; EventId: 5; Driver: Danny; Laps: 0; Penalties: 0; LapTime: ; Position: 2; 
TimeStamp: 2018-11-21 12:28:21.953; Lap added; EventId: 5; Driver: Mannie; Laps: 0; Penalties: 0; LapTime: ; Position: 3; 
TimeStamp: 2018-11-21 12:28:23.113; Lap added; EventId: 5; Driver: Heinz; Laps: 0; Penalties: 0; LapTime: ; Position: 4; 
TimeStamp: 2018-11-21 12:28:24.166; Lap added; EventId: 5; Driver: Tom; Laps: 0; Penalties: 0; LapTime: ; Position: 5; 
TimeStamp: 2018-11-21 12:28:26.236; Lap added; EventId: 5; Driver: Andreas; Laps: 1; Penalties: 0; LapTime: 12:00:07.145; Position: 1; 
TimeStamp: 2018-11-21 12:28:26.313; Lap added; EventId: 5; Driver: Danny; Laps: 1; Penalties: 0; LapTime: 12:00:05.366; Position: 2; 
TimeStamp: 2018-11-21 12:28:26.396; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:00:04.442; Position: 3; 
TimeStamp: 2018-11-21 12:28:26.473; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:03.358; Position: 4; 
TimeStamp: 2018-11-21 12:28:26.627; Lap added; EventId: 5; Driver: Tom; Laps: 1; Penalties: 0; LapTime: 12:00:02.460; Position: 5; 
TimeStamp: 2018-11-21 12:28:29.702; Lap added; EventId: 5; Driver: Andreas; Laps: 2; Penalties: 0; LapTime: 12:00:03.523; Position: 1; 
TimeStamp: 2018-11-21 12:28:29.804; Lap added; EventId: 5; Driver: Danny; Laps: 2; Penalties: 0; LapTime: 12:00:03.491; Position: 2; 
TimeStamp: 2018-11-21 12:28:29.870; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:03.475; Position: 3; 
TimeStamp: 2018-11-21 12:28:29.941; Lap added; EventId: 5; Driver: Heinz; Laps: 2; Penalties: 0; LapTime: 12:00:03.470; Position: 4; 
TimeStamp: 2018-11-21 12:28:30.005; Lap added; EventId: 5; Driver: Tom; Laps: 2; Penalties: 0; LapTime: 12:00:03.378; Position: 5; 
TimeStamp: 2018-11-21 12:28:33.128; Lap added; EventId: 5; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:03.257; Position: 1; 
TimeStamp: 2018-11-21 12:28:33.725; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:03.257; Position: 1; 
TimeStamp: 2018-11-21 12:28:35.865; Lap added; EventId: 5; Driver: Mannie; Laps: 4; Penalties: 0; LapTime: 12:00:02.737; Position: 1; 
TimeStamp: 2018-11-21 12:28:46.412; Lap added; EventId: 5; Driver: Andreas; Laps: 3; Penalties: 0; LapTime: 12:00:16.709; Position: 2; 
TimeStamp: 2018-11-21 12:28:48.920; Lap added; EventId: 5; Driver: Danny; Laps: 3; Penalties: 0; LapTime: 12:00:19.115; Position: 3; 
TimeStamp: 2018-11-21 12:28:50.442; Lap added; EventId: 5; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:04.029; Position: 2; 
TimeStamp: 2018-11-21 12:28:52.051; Lap detected but not added due minimum lap time; EventId: 6; Driver: Andreas; Laps: 4; Penalties: 0; LapTime: 12:00:04.029; Position: 2; 
TimeStamp: 2018-11-21 12:28:53.462; Lap added; EventId: 5; Driver: Andreas; Laps: 5; Penalties: 0; LapTime: 12:00:03.020; Position: 1; 
TimeStamp: 2018-11-21 12:28:56.485; Lap added; EventId: 5; Driver: Tom; Laps: 3; Penalties: 0; LapTime: 12:00:26.479; Position: 4; 
TimeStamp: 2018-11-21 12:28:58.095; Lap detected but not added due minimum lap time; EventId: 6; Driver: Tom; Laps: 3; Penalties: 0; LapTime: 12:00:26.479; Position: 4; 
